,batch_id,drift_magnitude,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
0,0,0.0,0.97,0.9259259259259259,0.9615384615384616,0.9433962264150944,0.996881496881497
1,1,0.0,0.95,0.8529411764705882,1.0,0.9206349206349206,0.9917435648372996
2,2,0.0,0.92,0.92,0.7931034482758621,0.8518518518518519,0.9732880038853813
3,3,0.0,0.95,0.9354838709677419,0.90625,0.9206349206349206,0.9852941176470588
4,4,0.0,0.93,0.896551724137931,0.8666666666666667,0.8813559322033898,0.97
5,5,0.0,0.95,0.9117647058823529,0.9393939393939394,0.9253731343283582,0.9882406151062868
6,6,0.0466666666666666,0.96,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.978562421185372
7,7,0.0933333333333333,0.92,0.8235294117647058,0.9333333333333333,0.875,0.9847619047619047
8,8,0.1399999999999999,0.94,0.8717948717948718,0.9714285714285714,0.918918918918919,0.9925274725274725
9,9,0.1866666666666666,0.93,0.8461538461538461,0.9705882352941176,0.9041095890410958,0.9897504456327986
10,10,0.2333333333333333,0.83,0.6410256410256411,0.8928571428571429,0.746268656716418,0.9499007936507937
11,11,0.2799999999999999,0.86,0.7291666666666666,0.9722222222222222,0.8333333333333334,0.9752604166666666
12,12,0.3266666666666666,0.87,0.725,0.9354838709677419,0.8169014084507042,0.9728845254791959
13,13,0.3733333333333333,0.78,0.5111111111111111,1.0,0.6764705882352942,0.9870129870129871
14,14,0.42,0.85,0.6808510638297872,1.0,0.810126582278481,0.9839154411764706
15,15,0.4666666666666666,0.73,0.543859649122807,0.96875,0.6966292134831461,0.964154411764706
16,16,0.5133333333333333,0.73,0.5357142857142857,0.967741935483871,0.6896551724137931,0.9560542309490416
17,17,0.5599999999999999,0.68,0.5294117647058824,1.0,0.6923076923076923,0.9722222222222222
18,18,0.6066666666666667,0.64,0.5,1.0,0.6666666666666666,0.9752604166666667
19,19,0.6533333333333333,0.75,0.5614035087719298,1.0,0.7191011235955056,0.9871323529411765
